model,accuracy,precision,recall,f1,roc_auc
Decision Tree,0.8268411316584221,0.6927682685244952,0.6676104676104676,0.6799567435306455,0.851629698989651
Random Tree,0.6217974858601798,0.4061882391057832,0.8067567567567567,0.5403297058506626,0.7391806728221647
Logistic Regression,0.7982009775240392,0.6405253790524252,0.6098455598455599,0.624809080620172,0.8219835444285408
Random Forest,0.8681760961685077,0.7618739903069467,0.7586872586872587,0.7602772851845881,0.9165804117983458
XGBoost,0.8475854447025171,0.7075834578973592,0.7615401115401116,0.7335709489126504,0.9060558282273365
Voting Ensemble (deployed),0.8439212070707967,0.705467336274729,0.7442513942513943,0.7243405738859953,0.893922850014233
