model,accuracy,precision,recall,f1,roc_auc
Decision Tree,0.8273257566355207,0.6942862884319111,0.666988416988417,0.6803636482982703,0.8518037386958853
Random Tree,0.6221461794412628,0.4064451985216245,0.8067353067353067,0.5405521939721459,0.7392679334090458
Logistic Regression,0.7983664592235362,0.640948752057358,0.6097812097812098,0.624976641421081,0.8220931516531234
Random Forest,0.8686607211456062,0.7633016037471131,0.7585371085371085,0.7609118979225167,0.9169250275843359
XGBoost,0.848495594049751,0.7101399931906031,0.7605748605748606,0.7344926515520295,0.9064367671205488
Voting Ensemble (deployed),0.8442344402877018,0.7060354644542053,0.7447447447447447,0.7248736899244227,0.8942599605762523
